Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Korach, Alexander",https://books.google.com/books/about/Die_Genossenschaft_als_Rechtsform_f%C3%BCr_K.html?hl=&id=sNgSAQAAIAAJ,,,,http://books.google.com/books/content?id=sNgSAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1973,Aku-Fotodruck; éditeur non identifié,cartel--coopérative--* droit--Suisse; Genossenschaft; Kartell; unlauterer Wettbewerb; Schweiz,Die Genossenschaft als Rechtsform für Kartelle /,Die Genossenschaft als Rechtsform für Kartelle,4676
"Stiehle, Carl-Egon",https://books.google.com/books/about/Der_Eintritt_in_die_Genossenschaft_und_d.html?hl=&id=OhIVAQAAIAAJ,,,,http://books.google.com/books/content?id=OhIVAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1948,P Haupt,Cooperative societies,Der Eintritt in die Genossenschaft und die daran geknüpften Rechte und Pflichten /,Der Eintritt in die Genossenschaft und die daran geknüpften Rechte und Pflichten,4678
"Forstmoser, Peter 1943-....",https://books.google.com/books/about/Die_Genossenschaft.html?hl=&id=O5HWZwEACAAJ,,,,,de,1972,Stämpfli,Genossenschaft; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion; Kommentar(Werk),Systematischer Teil und Art. 828-838 OR : [Begriff und Errichtung] /,Systematischer Teil und Art. 828-838 OR,4686
Schweiz. Bundesamt für Raumplanung,https://books.google.com/books/about/Etude_relative_%C3%A0_la_loi_f%C3%A9d%C3%A9rale_sur.html?hl=&id=hNPOoQEACAAJ,,,,,fr,1981,Office fédéral de l'aménagement du territoire,"Suisse.--""Loi fédérale sur l'aménagement du territoire""; aménagement du territoire--* droit--Suisse--[anthologie]; aménagement du territoire--* droit--Suisse--[texte législatif]; Raumplanung und öffentliches Baurecht; öffentliches Werk; Wasser; Bundesrecht; Schweiz",Etude relative à la loi fédérale sur l'aménagement du territoire /,Etude relative à la loi fédérale sur l'aménagement du territoire,4690
"Reiss, Rodolphe Archibald",https://books.google.com/books/about/Manuel_de_police_scientifique_technique.html?hl=&id=7-KTzwEACAAJ,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",1015872530,,http://books.google.com/books/content?id=7-KTzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2022-10-27,F Alcan; Payot,,Manuel de police scientifique (technique) : I. vols et homicides /,Manuel de police scientifique (technique),4746
"Lüthy, Herbert",https://books.google.com/books/about/La_banque_protestante_en_France_1_De_la.html?hl=&id=vCsBEQAAQBAJ,"Il ne s'agit, dans ce travail, ni exactement d'histoire économique, ni surtout d'histoire religieuse, mais d'histoire d'un groupe social. Résultat de recherches extrêmement précises à travers les archives françaises et suisses, l'auteur s'attache à délimiter les contours exacts et le rôle d'un groupe à la fois mythique et réel, qui rallie l'esprit du capitalisme à l'éthique protestante. Constitution et renforcement de l'internationale huguenote du fait de la révocation de l'Édit de Nantes ; entrée des banquiers huguenots dans les affaires financières de France à la fin du règne du Grand Roi ; maintien des firmes huguenotes à Paris et de leurs liens internationaux ; redémarrage à l'époque de Necker ; à travers ces thèmes, l'auteur traite des grands problèmes du XVIIIe siècle : l'aventure complexe de Law, l'ascension de Necker, les mécanismes et l'action de la Caisse d'Escompte de Panchaud, et l'histoire des emprunts viagers imaginés par Necker. « 1315 pages à typographie dense : cela fait un ouvrage énorme ; mais un grand ouvrage sans nul doute. Pas toujours construit avec aisance et clarté : digressions, parenthèses, appendices, retours en arrière, changements de registre se succèdent sans interruption. Mais, finalement, le lecteur est emporté dans le courant, il suit avec plaisir - et c'est l'essentiel. L'auteur sait brosser des fresques, juger largement, tailler à la loupe des microanalyses très réussies ; et comme il a le style vif, la plume un peu acide, non seulement le lecteur suit, mais il se détend - chose bien nécessaire au cours d'une route aussi longue. » Jean Bouvier, Annales ESC, vol. XVIII, 1963. Avec « Les Réimpressions » des titres du fonds des éditions de l'EHESS, publiés des années 1950 aux années 1970, sous l'égide de la VIe Section de l'École pratique des hautes études, sont à nouveau disponibles. En permettant d'accéder à l'intégralité du texte de l'édition originale - avec l'appareil scientifique complet - « Les Réimpressions » répondent aux besoins des bibliothèques universitaires et savantes, ainsi qu'à ceux des chercheurs et des lecteurs soucieux de disposer d'ouvrages de référence, devenus souvent des classiques.",9782307484134,,http://books.google.com/books/content?id=vCsBEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1999-01-01T00:00:00+01:00,SEVPEN,banque--protestantisme--France--1685 / 1789,La banque protestante en France : de la Révocation de l'Edit de Nantes à la Révolution /,La banque protestante en France,4749
"Bénichou, Paul",https://books.google.com/books/about/The_Consecration_of_the_Writer_1750_1830.html?hl=&id=mVPhiRompWgC,"The Consecration of the Writer is the definitive study of the first stages of a phenomenon that has profoundly affected world literature: the process by which modern writers ceased to speak as representatives of some religious or political power and instead seized the mantle of spiritual authority in their own right, speaking directly to and in the name of humanity. ø Paul Bänichou identifies three great moments in this process: the advent of the Enlightenment faith in philosophy and the rise of its literary concomitant, the man of letters; the literary creations of the counterrevolution and their surprising involvement in the elevation of the status of poetry; and, finally, the fusion of these tendencies in the early phases of romanticism in France. ø Bänichou deepens our understanding of romanticism by showing that it was a revision of the Enlightenment faith rather than a reaction against it. The extraordinary depth of Bänichou?s research, the originality of his conclusions, and the importance of his methodological reflections make this study an essential reference in the contemporary return to literary history.",0803212917,,http://books.google.com/books/content?id=mVPhiRompWgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,1999-01-01,J Corti,"écrivain--pouvoir spirituel--France--1750 / 1830; idées politiques--Constant de Rebecque, Benjamin; littérature française--pouvoir spirituel--1750 / 1830",Le sacre de l'écrivain : 1750-1830 : essai sur l'avènement d'un pouvoir spirituel laïque dans la France moderne /,Le sacre de l'écrivain,4795
"Borloz, Sophie-Valentine",https://books.google.com/books/about/Mado_and_Ses_Monstres.html?hl=&id=23URAAAACAAJ,,2762579597,,,fr,1994,éditeur non identifié,Langage et odorat; Perception olfactive; Odorat; Odeurs; Odeurs--Dans la littérature; Littérature française--1870-1914; Littérature et médecine; France--Civilisation--1870-1914,"""L'odorat a ses monstres"" : olfaction et perversion dans l'imaginaire fin-de-siècle (1880-1905) /","""L'odorat a ses monstres""",4796
Voltaire,https://play.google.com/store/books/details?id=SHZoEAAAQBAJ,Candide: oder der Optimismus; Voltaire – Candide oder der Optimismus Voltaire – Candide oder der Optimismus wendet sich in seiner satirischen Schrift Candide oder der Optimismus gegen den von Gottfried Wilhelm von Leibniz vertretenen Optimismusindem er in seinem Werk den naiven Protagonisten Candide auf seiner Reise diversen Unglücken und Zufällen,9783752916355,,http://books.google.com/books/content?id=SHZoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2020-09-03,World Pub Co,Fiction,Candide /,Candide,4810
"Kafka, Franz",https://books.google.com/books/about/Oeuvres_compl%C3%A8tes.html?hl=&id=0iGgswEACAAJ,,,,,fr,1980,Gallimard,,Oeuvres complètes / (L'oublié) ;,Oeuvres complètes / (L'oublié) ;,5150
"Kafka, Franz",https://play.google.com/store/books/details?id=2UDOQqCwYLYC,,,,http://books.google.com/books/content?id=2UDOQqCwYLYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1828,Gallimard,,Oeuvres complètes /,Oeuvres complètes,5151
"Lovis, Béatrice",https://books.google.com/books/about/La_vie_th%C3%A9%C3%A2trale_et_lyrique_%C3%A0_Lausann.html?hl=&id=TyElxQEACAAJ,Thèse. Lettres. 2019,,,,fr,2019,éditeur non identifié,"Théâtre (genre littéraire) suisse--Lausanne (Suisse, région, VD)--18e siècle; Théâtre (genre littéraire)--Histoire et critique--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Spectacles et divertissements--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Thèses et écrits académiques",La vie théâtrale et lyrique à Lausanne et dans ses environs dans la seconde moitié du XVIIIe siècle (1757-1798) /,La vie théâtrale et lyrique à Lausanne et dans ses environs dans la seconde moitié du XVIIIe siècle (1757-1798),5197
"Nabokov, Vladimir",https://books.google.com/books/about/Lolita.html?hl=&id=utvB0I_0SZsC,"The most famous and controversial novel from one of the greatest writers of the twentieth century tells the story of Humbert Humbert’s obsessive, devouring, and doomed passion for the nymphet Dolores Haze. “The conjunction of a sense of humor with a sense of horror [results in] satire of a very special kind.”—The New Yorker One of The Atlantic’s Great American Novels of the Past 100 Years Awe and exhilaration—along with heartbreak and mordant wit—abound in Lolita, which tells the story of the aging Humbert Humbert's obsession for the nymphet Dolores Haze. Lolita is also the story of a hypercivilized European colliding with the cheerful barbarism of postwar America. Most of all, it is a meditation on love—love as outrage and hallucination, madness and transformation.",9780307744029,,http://books.google.com/books/content?id=utvB0I_0SZsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2010-08-24,La Guilde du livre,Fiction,Lolita : roman /,Lolita,5272
"Revaz, Noëlle, 1968-",https://books.google.com/books/about/Autoportrait_avec_artiste.html?hl=&id=NVlX0AEACAAJ,,2889640612,,,fr,2023-11-02,art&fiction,"Carron, Valentin",Autoportrait avec artiste : portrait de Valentin Carron /,Autoportrait avec artiste,5280
"Souriau, Etienne",https://books.google.com/books/about/La_Correspondance_des_Arts_dans_la_Po%C3%A9s.html?hl=&id=dcCetAEACAAJ,"Excerpt from La Correspondance des Arts dans la Poesie Contemporaine: Etude Psychologique Qu'on l'appelle synthese ou transposition, le fait existe. Sur un point, apologistes et detracteurs sont d'accord il y a actuellement, dans chacun des arts, une tendance a empieter sur le domaine des arts voisins, a user de leurs procedes pour arriver a produire des effets identiques. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",0656523697,,http://books.google.com/books/content?id=dcCetAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2018-02-14,Flammarion,art--* philosophie; esthétique--* philosophie,La correspondance des arts : éléments d'esthétique comparée /,La correspondance des arts,5338
"Venturi, Franco",https://books.google.com/books/about/Les_intellectuals_le_peuple_et_la_r%C3%A9vol.html?hl=&id=UibDQgAACAAJ,,2070284166,,,fr,1972,Gallimard,populisme (politique)--Russie--19e s.,"Les intellectuels, le peuple et la révolution : histoire du populisme russe au XIXe siècle /","Les intellectuels, le peuple et la révolution",5387
"Scheler, Max",https://books.google.com/books/about/L_homme_du_ressentiment.html?hl=&id=rxQyzwEACAAJ,,2841007308,,,fr,1933,Gallimard,,L'homme du ressentiment /,L'homme du ressentiment,5389
"Kojève, Alexandre",https://books.google.com/books/about/Introduction_A_La_Lecture_De_Hegel.html?hl=&id=fqTSSgAACAAJ,,2070236218,,,fr,1947,Gallimard,"Hegel, Georg Wilhelm Friedrich.--""Phänomenologie des Geistes""","Introduction à la lecture de Hegel : leçons sur la ""Phénoménologie de l'esprit"" professées de 1933 à 1939 à l'Ecole des Hautes-Etudes /Alexandre Kojève ; réunies et publiées par Raymond Queneau",Introduction à la lecture de Hegel,5391
"Vargas, Fred, 1957-",https://play.google.com/store/books/details?id=fl61TbK5rGcC,"Clément Vauquer est une âme simple. Il fait ce qu’on lui demande et ne pose jamais de question tant qu’on lui laisse sa seule passion, l’accordéon. Lorsqu’on l’accuse d’être le tueur en série qui terrorise Paris, Marthe, ancienne prostituée au grand cœur, hurle à l’erreur judiciaire et demande à son ami Louis Kehlweiler de protéger «son petit». Louis regimbe mais on ne résiste pas à Marthe. Comme planque idéale : la baraque pourrie qu’il partage avec les Évangélistes, Mathias, Marc et Lucien, trois érudits sympathiques et fins limiers à leurs moments perdus. L’enquête peut commencer.",9782878586374,,http://books.google.com/books/content?id=fl61TbK5rGcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2012-03-15T00:00:00+01:00,V Hamy,Fiction,Sans feu ni lieu : [policier] /,Sans feu ni lieu,5417
"Lorant, André",https://books.google.com/books/about/Les_parents_pauvres_d_Honor%C3%A9_de_Balzac.html?hl=&id=ndJDjo0g2p0C,,260002803X,,http://books.google.com/books/content?id=ndJDjo0g2p0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1967,Libr Droz,"Balzac, Honoré de.--""La cousine Bette""; Balzac, Honoré de.--""Le cousin Pons""","Les parents pauvres d'Honoré de Balzac : ""La cousine Bette"", ""Le cousin Pons"" : étude historique et critique /",Les parents pauvres d'Honoré de Balzac,5470
"Grésillon, Almuth",https://books.google.com/books/about/Proust_%C3%A0_la_lettre.html?hl=&id=W-lcAAAAMAAJ,,,,http://books.google.com/books/content?id=W-lcAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1990,Du Lérot,"écriture--manuscrit--Proust, Marcel",Proust à la lettre : les intermittences de l'écriture /,Proust à la lettre,5484
"Ginzburg, Carlo",https://books.google.com/books/about/Enqu%C3%AAte_sur_Piero_Della_Francesca.html?hl=&id=XQRE0QEACAAJ,,,,,fr,1983,Flammarion,"Piero della Francesca.--""Le baptême du Christ""; Piero della Francesca.--""La flagellation du Christ""","Enquête sur Piero Della Francesca : le Baptême, le cycle d'Arezzo, la Flagellation d'Urbino /",Enquête sur Piero Della Francesca,5511
"George, Christophe 19..-....",https://play.google.com/store/books/details?id=xT7hEAAAQBAJ,"The book first discusses the concepts of corporate governance and corporate social responsibility (CSR) and provides a new framework to deal with these issues in the context of sustainability. It then explores the requirements of ""an end state of global sustainability"" and subsequently moves to a detailed analysis of the current governance regime, delving into the CSR-related liabilities and incentives at stake for both corporations and their directors. It concludes with a framework suggesting that there are four normative avenues for addressing environmental and social imperatives in company law, which helps reflect on how to tackle the ""potentiality for a sustainability gap"" in corporate governance and CSR. The author always discusses practical realities and incentives, at both the policy and corporate levels, in addition to theoretical aspects. The thesis on which this book is based received the distinction ""Summa Cum Laude"" and the 2023 Law Faculty Prize from the University of Lausanne. Dr Christophe George is a Research Associate at the Centre for Business Research in the University of Cambridge. He holds a PhD in Company Law and Management from the University of Lausanne, a Master of Law (LLM) from the University of Cambridge, a Master in Management from Harvard University, and a Master in Law and Economics from HEC Lausanne.",9783727249846,,http://books.google.com/books/content?id=xT7hEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2023-10-04,éditeur non identifié,Unternehmensführung; Corporate Social Responsibility; Umweltschutz; Klimaschutz; Konzern; international; Gesellschaftsrecht; Rechtsvergleichung; Schweiz; Vereinigtes Königreich,Corporate governance and corporate social responsibility : how to tackle environmental imperatives in company law? : legal and management perspectives /,Corporate governance and corporate social responsibility,5536
"Andreski, Stanislav",https://play.google.com/store/books/details?id=mwl9CAAAQBAJ,"Date de première parution : 1903 « On se trouve donc en présence, à ce qu'il semble, de l'alternative suivante. Ou bien la sociologie a le même objet que les sciences dites historiques et sociales, et alors elle se confond avec ces dernières et n'est plus que le terme générique qui sert à les désigner collectivement. Ou bien elle est une science distincte ; elle a son individualité propre... » Paul Fauconnet et Émile Durkheim",9791022300797,,http://books.google.com/books/content?id=mwl9CAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2013-10-15,Presses universitaires de France,sciences sociales - critique,Les sciences sociales : sorcellerie des temps modernes? /,Les sciences sociales,5583
"Noverraz, Camille",https://play.google.com/store/books/details?id=kqInEQAAQBAJ,"The artistic society known as ""Groupe de Saint-Luc"" left its mark on the artistic and cultural heritage of Switzerland, in particular French-speaking Switzerland, throughout the inter-war period. Based on in-depth research into the abundant archival sources produced by the Society and its members, this publication proposes a re-reading of this major artistic phenomenon of the first half of the 20th century, from a plural perspective that combines history, sociology and history of forms in art and architecture. It aims to take the ""Groupe de Saint-Luc"" out of isolation and set it within a broad European field of action, in which the issues of architecture and modern art, the opening of religious circles to modernity, and the relationship between the Church and artists are intertwined.",9783111383781,,http://books.google.com/books/content?id=kqInEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2024-11-21,éditeur non identifié,Thèses et écrits académiques; Groupe de Saint-Luc (Genève),Le Groupe de Saint-Luc (1919-1945) : expression et quête d'identité d'une société artistique catholique dans l'Europe de l'entre-deux-guerres /,Le Groupe de Saint-Luc (1919-1945),5605
"Grivel, Marianne",https://books.google.com/books/about/Le_commerce_de_l_estampe_%C3%A0_Paris_au_XVI.html?hl=&id=P5gVAQAAIAAJ,,,,http://books.google.com/books/content?id=P5gVAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1986,Droz,gravure française--marché de l'art--Paris (France)--17e s.,Le commerce de l'estampe à Paris au XVIIe siècle /,Le commerce de l'estampe à Paris au XVIIe siècle,5648
"Baumgartner, Lina",https://books.google.com/books/about/Inventaire_et_catalogage_des_p%C3%A9riodique.html?hl=&id=d3IlHAAACAAJ,,,,,fr,1989,BCU-Bibliothèque des Cèdres,,Inventaire et catalogage des périodiques vivants de la Bibliothèque des Cèdres : introduction et rapport de travail /,Inventaire et catalogage des périodiques vivants de la Bibliothèque des Cèdres,5656
"Aron, Raymond, 1905-1983",https://play.google.com/store/books/details?id=RaQxDwAAQBAJ,"Ce tome deuxième prend l’exacte mesure de la place de Clausewitz dans le monde d'aujourd’hui. Les grandes écoles d’état-major l’enseignent, Moltke comme Foch, Lénine comme Mao Zedong l’ont lu, étudié ou appliqué. Qui d’entre tous s’y montre le plus fidèle? Clausewitz peut-il lui-même être tenu pour responsable des massacres militaires et civils de la Première Guerre mondiale ou bien pour le plus farouche procureur contre la guerre d’anéantissement menée par Hitler ? Grâce à son échec dans l’action, Clausewitz, tel Machiavel, a trouvé le loisir et la résolution d’achever au niveau de la conscience claire la théorie d’un art qu’il a imparfaitement pratiqué. Son héritage consiste en deux idées maîtresses : le principe d'anéantissement et la suprématie de l'intelligence politique sur l'instrument militaire. L'arme nucléaire confirme la deuxième et modifie le sens de la première.",9782072376139,,http://books.google.com/books/content?id=RaQxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2017-07-01T00:00:00+02:00,Gallimard,"guerre--Clausewitz, Carl von","Penser la guerre, Clausewitz /","Penser la guerre, Clausewitz",5665
"Schmidt, Joël",https://play.google.com/store/books/details?id=xNc7AwAAQBAJ,"nterpréter dans le sens de la morale chrétienne l'esclavage tel que l'a pratiqué l'Antiquité constituerait un contresens. Pour comprendre cette pratique, il faut avant tout faire abstraction de notre mentalité forgée par vingt siècles de christianisme et justement renforcée par l'abolition de l'esclavage au xixe siècle comme par le développement d'un machinisme forcené. Dans cet essai publié pour la première fois en 1973, Joël Schmidt explique et justifie le comportement des Romains en historien. Outils précieux d'une civilisation non mécanisée où le travail manuel était incompatible avec une certaine dignité et où seul le maniement des armes et de la politique n'entamait pas la respectabilité des citoyens, les esclaves nécessitaient attention, soins et ménagement. Sans donner de leur condition une vision idyllique, Joël Schmidt se plait à discerner les rapports de confiance et d'affection qui s'établissaient parfois entre eux et leurs maîtres. Il revient également sur la légende d'un christianisme abolissant, dans l'Antiquité, l'esclavage. En définitive, la Rome républicaine et impériale n'aurait jamais pu s'épanouir sans le concours des esclaves et des affranchis. Leur vie et leur mort, tantôt affreuses, tantôt héroïques, étaient liées à la vie et à la mort d'une civilisation qui fit de l'esclavage une effroyable nécessité pour tenter d'assurer, avec le sang et les larmes d'hommes et de femmes-machines, sa gloire et sa pérennité, dans la plus cruelle des contradictions.",9782226297648,,http://books.google.com/books/content?id=xNc7AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2014-04-01,Ed A Michel,esclavage--Rome; esclave--Rome,Vie et mort des esclaves dans la Rome antique,Vie et mort des esclaves dans la Rome antique,5677
"Leroux, Alexandre 19..-....",https://books.google.com/books/about/En_transition_douce_vers_la_d%C3%A9croissanc.html?hl=&id=-8XhzgEACAAJ,"Revenir à l'essentiel et aux choses simples de la vie, se libérer du superflu, consommer moins, ne plus se créer de besoins fictifs... Dans toutes les sphères de sa vie, Alexandre Leroux offre un témoignage inspirant et sincère pour une transition douce, comme autant de petits pas pour créer un monde sain et durable. En 2015, Alexandre était graphiste chez Ikea, se rendait au travail en voiture et mangeait de la viande tous les jours. C'est à ce moment qu'il commence à remettre en question son mode de vie et à envisager un quotidien plus simple et plus cohérent avec ses convictions écologiques. Peu à peu, il entame sa transition douce vers la décroissance : il devient végétarien, achète un vélo d'occasion et revend sa voiture, quitte son CDI et décide de s'acheter une tiny house en Alsace. Aujourd'hui, Alexandre vit dans sa mini-maison sur le terrain d'une ferme en maraîchage biologique, où il travaille à mi-temps en contrepartie, et se sent plus épanoui. Il vit un mode de vie minimaliste, moins dépendant de la technologie, et partage tout ce quotidien, ainsi que de nombreux conseils, dans son livre. Comme un guide de développement personnel, il aborde son cheminement vers la décroissance et donne de nombreux conseils pratiques pour y arriver. Parce qu'Alexandre en est persuadé : un mode de vie moins consumériste peut avoir un réel impact positif sur les individus, la société et notre environnement sur Terre... (4ème de couverture)",2379221464,,,fr,2021,Ulmer,Décroissance soutenable.,En transition douce vers la décroissance /,En transition douce vers la décroissance,5684
"Dulière, Cécile",https://books.google.com/books/about/Die_R%C3%B6mische_W%C3%B6lfin.html?hl=&id=JqWXXwAACAAJ,"English description: Conservation work on the iconic Lupa Capitolina in Rome during 1997-2000 showed that this world-famous bronze statue is - contrary to centuries-old conviction - not from the first half of the 5th century BC, but was made during the Middle Ages. Though substantiated by technological studies, this find sparked a fierce debate that is ongoing to this day. The three essays presented in this volume provide additional research. Edilberto Formigli presents the current state of technological and conservatorial research; Maria R.-Alfoldi follows the tracks of the original Lupa Romana to Constantinople, where the statue, on public display in Rome since 296 BC, probably was melted down after 1204 during the 4th Crusade; Johannes Fried investigates why the political image of the she-wolf was resurrected in medieval times. German text with full English translation. German description: Im Zuge der Restaurierungsmaanahmen der LUPA CAPITOLINA zu Rom in den Jahren 1997-2000 zeigte sich, daa diese weithin bekannte symboltrachtige Bronzeskulptur entgegen der Jahrhunderte alten Uberzeugung nicht etwa in der ersten Halfte des 5. Jahrhunderts v. Chr., sondern im Mittelalter entstanden ist. Auf diese, durch technologische Untersuchungen gut abgesicherte Feststellung folgte eine noch immer andauernde heftige Diskussion. Im diesem Sitzungsbericht erscheinen drei Beitrage dazu: Edilberto Formigli stellt den aktuellen Stand der technologisch-restauratorischen Forschung dar. Maria R.-Alfoldi verfolgt die Spuren der urspruenglichen LUPA ROMANA bis nach Konstantinopel, wo diese im Jahre 296 v. Chr. in Rom aufgestellte Bronzegruppe aller Wahrscheinlichkeit nach 1204 im Laufe des 4. Kreuzzuges eingeschmolzen wurde, und stellt Uberlegungen zu ihrer Bedeutung fuer Rom an. Johannes Fried geht der Frage nach, warum im Mittelalter politisch bedingt wieder auf die Figur der Wolfin zurueckgegriffen wurde, wobei sich vollig neue Aspekte fuer die LUPA CAPITOLINA abzeichnen. Wegen der historisch-kulturhistorischen Bedeutung des Themas wurde eine komplette englische Ubersetzung beigelegt, die Carola Murray-Seegert erstellt hat.",3515098763,,http://books.google.com/books/content?id=JqWXXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,2011,Institut historique belge de Rome,art romain antique--louve--3e s. av. J.-C. / 3e s.,Lupa Romana : recherches d'iconographie et essai d'interprétation /,Lupa Romana,5692
"Seyrig, Henri",https://books.google.com/books/about/Le_temple_de_Bel_%C3%A0_Palmyre.html?hl=&id=GKxDMQAACAAJ,,,,,fr,1975,P Geuthner,temple palmyrénien--Palmyre (Syrie) - Temple de Bêl,Le temple de Bêl à Palmyre /,Le temple de Bêl à Palmyre,5697
"Pierrefleur, Guillaume de",https://play.google.com/store/books/details?id=0MZPAAAAcAAJ,,,,http://books.google.com/books/content?id=0MZPAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1856,La Concorde,Vaud (Switzerland),Mémoires de Pierrefleur /,Mémoires de Pierrefleur,5699
"Balzac, Honoré de",https://books.google.com/books/about/Etudes_De_Moeurs.html?hl=&id=l2uSyAEACAAJ,"This is a reproduction of the original artefact. Generally these books are created from careful scans of the original. This allows us to preserve the book accurately and present it in the way the author intended. Since the original versions are generally quite old, there may occasionally be certain imperfections within these reproductions. We're happy to make these classics available again for future generations to enjoy!",1406943487,,http://books.google.com/books/content?id=l2uSyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2019-08-03,Hébert; Houssiaux,History,Etudes de moeurs / tome 4,Etudes de moeurs / tome 4,5702
"Sartre, Jean-Paul",https://books.google.com/books/about/La_Naus%C3%A9e_de_Jean_Paul_Sartre_fiche_de.html?hl=&id=TMhuzgEACAAJ,"Venez découvrir La Nausée de Jean-Paul Sartre grâce à une analyse littéraire de référence ! Écrite par un spécialiste universitaire, cette fiche de lecture est recommandée par de nombreux enseignants. Cet ouvrage contient la biographie de l'écrivain, le résumé détaillé, le mouvement littéraire, le contexte de publication de l'oeuvre et l'analyse complète. Retrouvez tous nos titres sur: www.fichedelecture.fr.",2759312240,,http://books.google.com/books/content?id=TMhuzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2021-05-10,Gallimard,,La nausée : [roman] /,La nausée,5704
"Lazare, Bernard",https://play.google.com/store/books/details?id=XB6vDwAAQBAJ,"« On ne pourra jamais détruire l’antisémitisme ; on pourra momentanément en enrayer les manifestations violentes, mais on le verra réapparaître suivant les circonstances. » Bernard Lazare. C’est en réponse aux livres antisémites de Drumont que cet ouvrage sur les causes et l’histoire de l’antisémitisme fut publié en 1894. Bernard Lazare, comme Émile Zola et d’autres intellectuels de son époque, s’engageront également à défendre l’honneur de l’officier Dreyfus accusé à tort de trahison à la patrie. suivie de : « Antisémitisme et Révolution » & « Contre l’antisémitisme (histoire d’une polémique) » par Bernard Lazare, ainsi que « Le Portrait de Bernard Lazare dans l’affaire Dreyfus » par P. V. Stock. Format professionnel électronique © Ink Book édition",9791023208795,,http://books.google.com/books/content?id=XB6vDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2019-09-12,J Crès,Religion,L'antisémitisme : son histoire et ses causes /,L'antisémitisme,5705
"Humbert-Droz, Jules",https://books.google.com/books/about/Les_m%C3%A9moires_historiques_de_Se_Ma_Ts_ie.html?hl=&id=WGDEAQAACAAJ,,,,,fr,1967,Impr coopératives réunies; A La Baconnière,"Humbert-Droz, Jules; Parti socialiste suisse; Parti suisse du travail (Suisse); Troisième internationale--(1919-1943); communisme international--Humbert-Droz, Jules--1891 / 1971; Pacifisme; Communisme; 20e siècle; [Sources]; [Récits personnels]",Mémoires /,Mémoires,5715
"Hen, Léa",https://books.google.com/books/about/Ma_vie_intime_affective_et_sexuelle.html?hl=&id=fDdPzQEACAAJ,,,,,fr,2019,Institution de Lavigny,Polyhandicapés; Handicapés; Éducation spéciale; Éducateurs spécialisés; Affectivité; Relations amoureuses; Sexualité; Vie pratique; Relations humaines; Communication interpersonnelle; Intimité (psychologie); Éducation sexuelle des handicapés; [Guides pratiques],"Ma vie intime, affective et sexuelle /","Ma vie intime, affective et sexuelle",5744
